_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
1,2023,M3A,DOG,CAVALIER SPAN
2,2023,M1K,CAT,DOMESTIC MH
3,2023,M4C,CAT,DOMESTIC SH
4,2025,M4B,CAT,DOMESTIC SH
5,2023,M1V,CAT,DOMESTIC SH
6,2023,M8V,CAT,DOMESTIC SH
7,2025,M2H,CAT,DOMESTIC SH
8,2023,M4S,CAT,DOMESTIC SH
9,2023,M2H,CAT,DOMESTIC SH
10,2024,M8Y,CAT,DOMESTIC MH
11,2023,M5M,CAT,DOMESTIC SH
12,2025,M2H,CAT,DOMESTIC SH
13,2024,M9C,CAT,DOMESTIC MH
14,2023,M1W,DOG,DACHSHUND
15,2023,M4L,CAT,DOMESTIC SH
16,2023,M2N,CAT,DOMESTIC LH
17,2023,M6R,CAT,DOMESTIC SH
18,2025,M5A,DOG,PORT WATER DOG
19,2023,M6K,CAT,DOMESTIC SH
20,2024,M3K,DOG,COTON DE TULEAR
21,2023,M1H,CAT,DOMESTIC SH
22,2023,M4J,CAT,DOMESTIC SH
23,2023,M5M,CAT,DOMESTIC SH
24,2023,M1J,CAT,DOMESTIC SH
25,2023,M4Y,CAT,DOMESTIC SH
26,2025,M3M,CAT,DOMESTIC SH
27,2025,M1N,CAT,DOMESTIC SH
28,2023,M8V,CAT,DOMESTIC LH
29,2023,M1N,CAT,DOMESTIC SH
30,2023,M1W,CAT,DOMESTIC SH
31,2023,M1X,CAT,DOMESTIC SH
32,2023,M4C,CAT,DOMESTIC SH
33,2024,M8V,CAT,DOMESTIC SH
34,2024,M8V,CAT,DOMESTIC SH
35,2025,M8V,CAT,DOMESTIC SH
36,2024,M8V,CAT,DOMESTIC LH
37,2024,M8V,CAT,DOMESTIC SH
38,2025,M8V,CAT,DOMESTIC SH
39,2024,M3J,CAT,DOMESTIC SH
40,2023,M9N,DOG,PARSON RUSS TER
41,2023,M1G,CAT,DOMESTIC SH
42,2023,M4K,CAT,DOMESTIC MH
43,2023,M4G,CAT,DOMESTIC MH
44,2024,M1N,DOG,BASENJI
45,2025,M1N,CAT,DOMESTIC SH
46,2025,M6P,CAT,DOMESTIC LH
47,2023,M6B,DOG,POODLE MIN
48,2023,M1N,DOG,POODLE MIN
49,2023,M2J,DOG,WEST HIGHLAND
50,2025,M4M,CAT,DOMESTIC SH
51,2025,M4M,CAT,DOMESTIC SH
52,2024,M4M,CAT,DOMESTIC LH
53,2025,M4J,CAT,DOMESTIC MH
54,2024,M9B,DOG,POODLE MIN
55,2023,M5A,CAT,RAGDOLL
56,2023,M5A,CAT,RAGDOLL
57,2023,M9B,CAT,DOMESTIC SH
58,2024,M3B,CAT,DOMESTIC SH
59,2023,M4C,DOG,WEST HIGHLAND
60,2023,M8V,CAT,DOMESTIC SH
61,2023,M1K,CAT,DOMESTIC LH
62,2023,M3M,DOG,POODLE MIN
63,2024,M2J,CAT,DOMESTIC SH
64,2023,M9C,CAT,DOMESTIC SH
65,2023,M6S,DOG,PARSON RUSS TER
66,2025,M1B,CAT,DOMESTIC SH
67,2024,M2H,DOG,AMER ESKIMO
68,2023,M8W,CAT,DOMESTIC SH
69,2023,M1V,CAT,DOMESTIC SH
70,2023,M1V,CAT,DOMESTIC SH
71,2024,M6R,CAT,DOMESTIC SH
72,2023,M1V,DOG,MALTESE
73,2025,M1S,CAT,DOMESTIC SH
74,2023,M4K,CAT,DOMESTIC MH
75,2024,M6R,CAT,DOMESTIC SH
76,2025,M6N,CAT,DOMESTIC SH
77,2023,M3C,DOG,CHIHUAHUA LH
78,2023,M1L,CAT,DOMESTIC SH
79,2023,M1E,CAT,DOMESTIC SH
80,2023,M4E,CAT,RAGDOLL
81,2023,M4C,DOG,PARSON RUSS TER
82,2023,M4J,CAT,DOMESTIC SH
83,2023,M8V,CAT,HIMALAYAN
84,2023,M1E,DOG,POODLE MIN
85,2023,M6S,DOG,COTON DE TULEAR
86,2023,M5N,CAT,DOMESTIC SH
87,2025,M4J,CAT,DOMESTIC SH
88,2025,M4J,CAT,DOMESTIC SH
89,2023,M4G,CAT,DOMESTIC SH
90,2023,M4R,CAT,DOMESTIC SH
91,2025,M5V,CAT,DOMESTIC SH
92,2023,M5M,CAT,DOMESTIC SH
93,2023,M1K,CAT,DOMESTIC SH
94,2023,M9A,CAT,DOMESTIC SH
95,2023,M4B,CAT,DOMESTIC SH
96,2023,M1C,CAT,DOMESTIC SH
97,2025,M6S,CAT,DOMESTIC SH
98,2023,M6S,DOG,YORKSHIRE TERR
99,2023,M2L,DOG,MALTESE
100,2023,M4Y,CAT,DOMESTIC SH
101,2024,M3A,CAT,DOMESTIC SH
102,2023,M4L,CAT,SIAMESE
103,2023,M6N,DOG,YORKSHIRE TERR
104,2023,M8X,DOG,GOLDEN RETR
105,2023,M9R,DOG,SHIH TZU
106,2023,M4N,DOG,SC WHEAT TERR
107,2024,M4G,CAT,DOMESTIC SH
108,2023,M6R,CAT,DOMESTIC SH
109,2023,M2M,CAT,PERSIAN
110,2023,M1N,DOG,SHIH TZU
111,2023,M4V,DOG,BICHON FRISE
112,2023,M1E,DOG,WEST HIGHLAND
113,2024,M9M,CAT,DOMESTIC SH
114,2023,M4S,DOG,SHIH TZU
115,2023,M4C,CAT,DOMESTIC LH
116,2024,M4L,CAT,DOMESTIC SH
117,2023,M4J,CAT,DOMESTIC SH
118,2023,M5P,DOG,PARSON RUSS TER
119,2023,M5R,DOG,PUG
120,2023,M9R,CAT,DOMESTIC SH
121,2023,M4S,DOG,BICHON FRISE
122,2023,M4M,CAT,DOMESTIC SH
123,2023,M9W,CAT,DOMESTIC SH
124,2024,M4J,DOG,MALTESE
125,2023,M6R,CAT,DOMESTIC SH
126,2023,M6R,CAT,DOMESTIC SH
127,2023,M6R,DOG,GERM SHEPHERD
128,2023,M9B,DOG,POODLE TOY
129,2023,M9B,DOG,POODLE TOY
130,2024,M4C,CAT,DOMESTIC SH
131,2024,M8V,DOG,AUST SHEPHERD
